# time  Id  DTNHost  true/false
1172.0000 M623 19 true
1172.0000 M552 19 true
1172.0000 M619 19 true
1172.0000 M618 19 true
1172.0000 M588 19 true
1172.0000 M602 19 true
1172.0000 M587 19 true
1172.0000 M609 19 true
1173.0000 M599 0 true
1173.0000 M597 0 true
1173.0000 M594 0 true
1173.0000 M585 0 true
1173.0000 M627 0 true
1175.0000 M630 17 true
1175.0000 M613 17 true
1175.0000 M620 17 true
1175.0000 M589 17 true
1175.0000 M582 17 true
1175.0000 M607 17 true
1183.0000 M621 10 true
1183.0000 M627 10 true
1183.0000 M594 10 true
1183.0000 M619 10 true
1183.0000 M618 10 true
1183.0000 M641 10 true
1183.0000 M602 10 true
1183.0000 M587 10 true
1183.0000 M590 10 true
1190.0000 M631 11 true
1190.0000 M622 11 true
1190.0000 M621 11 true
1190.0000 M614 11 true
1190.0000 M618 11 true
1190.0000 M590 11 true
1195.0000 M611 8 true
1195.0000 M612 8 true
1195.0000 M596 8 true
1195.0000 M648 8 true
1195.0000 M628 8 true
1195.0000 M644 8 true
1198.0000 M614 12 true
1198.0000 M570 12 true
1198.0000 M575 12 true
1198.0000 M574 12 true
1198.0000 M634 12 true
1198.0000 M655 12 true
1198.0000 M636 12 true
1198.0000 M639 12 true
1198.0000 M622 12 true
1198.0000 M621 12 true
1198.0000 M580 12 true
1198.0000 M608 12 true
1200.0000 M632 4 true
1200.0000 M624 4 true
1200.0000 M629 4 true
1200.0000 M651 4 true
1200.0000 M615 4 true
1200.0000 M659 4 true
1200.0000 M657 4 true
1200.0000 M642 4 true
1203.0000 M630 16 true
1203.0000 M625 16 true
1203.0000 M652 16 true
1203.0000 M657 16 true
1203.0000 M643 16 true
1207.0000 M634 13 true
1207.0000 M608 13 true
1209.0000 M611 7 true
1209.0000 M612 7 true
1209.0000 M644 7 true
1214.0000 M650 3 true
1214.0000 M615 3 true
1214.0000 M659 3 true
1214.0000 M654 3 true
1214.0000 M642 3 true
1214.0000 M603 3 true
1214.0000 M672 3 true
1216.0000 M616 9 true
1216.0000 M660 9 true
1216.0000 M647 9 true
1216.0000 M634 14 true
1216.0000 M637 14 true
1216.0000 M670 14 true
1218.0000 M672 2 true
1218.0000 M653 2 true
1218.0000 M599 2 true
1218.0000 M659 2 true
1219.0000 M635 5 true
1219.0000 M667 5 true
1219.0000 M624 5 true
1219.0000 M629 5 true
1219.0000 M672 5 true
1219.0000 M651 5 true
1219.0000 M659 5 true
1219.0000 M649 5 true
1220.0000 M635 6 true
1220.0000 M646 6 true
1225.0000 M630 18 true
1225.0000 M635 18 true
